Feature Name	TPM Median	TPM Variance	Num Coexpress Partner	CAI	Normalized SNP Count	Paralog GI in S.cer	Ortholog Essentiality in S.cer	Length	Hits	Reads	Freedom index	Neighborhood index	Upstream hits 100	GRACE	GRACEv2
C1_00010W_A	1.36	281.6102472686908	0.0		0.038461538	0	0								
C1_00020C_A	271.26	729206.8026703205	3.0		0.019292605	0	0	312.0	1.0	1.0	0.9455128209999999	0.15730676300000002	1.0		
C1_00030C_A	20.54	56704.513921184676	0.0		0.035369775	0	0								
C1_00040W_A	120.47	35657.52186967004	4.0		0.009126467	0	0								
C1_00050C_A	2.31	416.55251763031237	0.0		0.008645533	0	0								
C1_00060W_A	274.55	92689.74132943305	15.0	0.26	0.009102731	-1	-1	1539.0	3.0	14.0	0.550357375	0.07168616	6.0		-1.0
C1_00070W_A	223.13	52666.98684278215	18.0	0.21	0.007023705	0	1	1140.0	1.0	4.0	0.998163453	0.033804415	6.0	1.0	
C1_00080C_A	59.4	10080.035976788346	2.0	0.11	0.005875441	-1	-1	852.0	22.0	2030.0	0.41079812200000004	0.945485412	0.0		
C1_00090W_A	8.69	2427.088378050129	7.0	0.14	0.003838772	-1	-1	522.0	30.0	4200.0	0.27394636	2.5459770109999997	0.0		
C1_00100C_A	53.18	18542.34718351561	14.0	0.08	0.005494505	-1	-1	729.0	19.0	1492.0	0.216735254	1.1098818879999999	0.0		
C1_00110W_A	198.85	71675.11835929309	40.0	0.22	0.00431566	0	1	1623.0	4.0	213.0	0.375847197	0.06433635900000001	0.0	1.0	
C1_00120C_A	109.19	27175.088760858922	2.0	0.09	0.008823529	-1	-1	681.0	13.0	822.0	0.290748899	0.463343267	0.0	-1.0	
C1_00130C_A	38.92	21514.560928853734	4.0	0.12	0.005240591	-1	-1	2100.0	22.0	1158.0	0.354285714	0.24877364600000001	7.0	-1.0	
C1_00140W_A	37.49	7882.330775424097	19.0	0.21	0.004908377	-1	-1	3057.0	31.0	3288.0	0.19561661800000002	0.240856058	6.0		
C1_00150C_A	17.27	66820.11204941697	3.0	0.11	0.002141328	-1	-1	1869.0	19.0	1178.0	0.14285714300000002	0.2595652	10.0	-1.0	
C1_00160C_A	427.88	257682.3081636209	213.0	0.36	0.010815308	-1	-1	1203.0	6.0	127.0	0.353283458	0.126404173	2.0		-1.0
C1_00170W_A	16.96	27601.75277754209	0.0	0.28	0.002300173	-1	-1	1740.0	24.0	5685.0	0.164367816	0.392711941	2.0	-1.0	
C1_00180W_A	2985.14	3971377.447650519	268.0	0.58	0.00166113	1	0	603.0	3.0	74.0	0.9104477609999999	0.140766754	0.0		1.0
C1_00190C_A	0.62	13427.444293126606	0.0	0.15	0.003134796	0	0	639.0	13.0	830.0	0.267605634	0.580502624	3.0		
C1_00200C_A	9.07	20537.27500808252	0.0	0.12	0.002881844	0	0	348.0	15.0	1700.0	0.413793103	1.2299110629999999	4.0		
C1_00210C_A	162.5	82989.2816534235	0.0	0.2	0.001733102	-1	-1	1155.0	12.0	967.0	0.27965368	0.296456485	6.0	-1.0	
C1_00220W_A	128.03	286884.3774427465	4.0	0.47	0.009179927	-1	-1	1635.0	2.0	2.0	0.6587155960000001	0.041250781	1.0	-1.0	
C1_00230C_A	20.53	2871.5140321172607	1.0	0.1	0.000777605	-1	-1	1287.0	7.0	318.0	0.6425796429999999	0.177211074	3.0		
C1_00240C_A					0.013888889	0	0								
C1_00270W_A	4.03	329215.7061159227	3.0	0.21	0.010011123	0	0	900.0	8.0	540.0	0.42222222200000004	0.26189794899999996	0.0		
C1_00280C_A	0.0	4831.536514907439	0.0	0.25	0.0	0	0								
C1_00290W_A	12.53	381198.9569504807	3.0		0.014278429	0	0	1962.0	17.0	1547.0	0.38735983700000004	0.24948688800000002	0.0		
C1_00310W_A	29.62	15670.732099938032	1.0	0.21	0.004498715	-1	-1	1557.0	21.0	2191.0	0.199743096	0.37553245700000004	7.0		
C1_00320W_A	42.11	1921.6891189975265	0.0	0.14	0.0	-1	-1	786.0	4.0	722.0	0.47837150100000003	0.14853233	1.0		
C1_00330C_A	96.38	180094.15616159528	5.0	0.17	0.001824818	0	1	549.0	6.0	217.0	0.41712204	0.32159385	18.0	-1.0	
C1_00340W_A	111.49	29278.28299195388	32.0	0.2	0.002680965	0	1	747.0	5.0	503.0	0.357429719	0.186853023	9.0	-1.0	
C1_00350C_A	95.77	115686.73195004852	0.0	0.27	0.001142857	-1	-1	876.0	4.0	223.0	0.43264840200000004	0.118813708	1.0		
C1_00360W_A	11.49	644.1786130451851	4.0	0.12	0.000744602	0	0	1344.0	9.0	830.0	0.9441964290000001	0.16378225300000002	1.0		-1.0
C1_00370W_A	31.75	23705.241999586666	0.0	0.13	0.003521127	0	0	285.0	6.0	436.0	0.4315789470000001	0.53601108	6.0		
C1_00380C_A	25.74	4252.720305667546	100.0	0.17	0.003576218	-1	-1	2238.0	15.0	542.0	0.151921358	0.164548001	2.0	-1.0	
C1_00390W_A	31.31	46251.23762824539	4.0	0.28	0.001873244	-1	-1	3204.0	32.0	2928.0	0.122034956	0.20228275899999998	1.0	-1.0	
C1_00400W_A	97.78	6927.18479622426	0.0	0.23	0.00174216	-1	-1	1149.0	3.0	55.0	0.563968668	0.055183855999999996	0.0	-1.0	
C1_00410C_A	25.66	11142.634784328371	133.0	0.33	0.003071253	-1	-1	1629.0	19.0	1272.0	0.20748925699999998	0.240410536	3.0		-1.0
C1_00420W_A	71.43	95180.71200720088	9.0	0.23	0.0	0	0	972.0	13.0	1251.0	0.40843621399999996	0.249046552	7.0		
C1_00430W_A	19.8	20599.184677539648	31.0	0.14	0.002386635	-1	-1	1677.0	19.0	915.0	0.150268336	0.19082101899999998	5.0		-1.0
C1_00440W_A	120.94	34156.84006647748	40.0	0.22	0.003304693	-1	-1	1514.0	21.0	1973.0	0.17606123899999998	0.24227123899999997	19.0	-1.0	
C1_00450C_A	162.41	74266.1031595867	162.0	0.2	0.001845018	-1	-1	543.0	1.0	15.0	0.7682119209999999	0.035843296000000004	3.0		
C1_00460W_A	228.71	204972.41158401087	85.0	0.21	0.0	-1	-1	321.0	5.0	192.0	0.554517134	0.266854758	2.0		
C1_00470C_A	29.11	4905.418948544485	2.0	0.16	0.003773585	-1	-1	1326.0	19.0	2110.0	0.173453997	0.24012615699999998	7.0	-1.0	
C1_00480C_A	56.41	2867.164093812461	98.0	0.23	0.001773836	-1	-1	2256.0	30.0	2740.0	0.31072695	0.204131977	13.0	-1.0	
C1_00490C_A	471.48	2234096.6367929326	23.0	0.38	0.0	-1	-1	360.0	9.0	448.0	0.311111111	0.371525097	11.0	-1.0	
C1_00500C_A	176.74	38012.87132799516	5.0	0.31	0.002918288	-1	-1	1029.0	22.0	1959.0	0.18853255600000002	0.31772797399999997	2.0	-1.0	
C1_00510W_A	43.6	1476.665276586689	5.0	0.12	0.001076426	-1	-1	930.0	3.0	13.0	0.520430108	0.04750733099999999	2.0	1.0	
C1_00520W_A	43.27	9049.913977108316	0.0	0.2	0.0014970060000000002	-1	-1	669.0	10.0	1064.0	0.28251121100000004	0.23389874600000002	10.0		
C1_00530C_A	13.95	524.4789823329763	25.0	0.14	0.0016386729999999998	0	0	2442.0	21.0	821.0	0.157657658	0.130645084	1.0	-1.0	
C1_00540C_A	21.95	4513.205250275847	94.0	0.13	0.003228782	0	0	2169.0	13.0	428.0	0.32134624300000003	0.08436402	5.0		-1.0
C1_00550W_A	11.24	1551.5510917129654	24.0	0.13	0.001570681	-1	-1	1911.0	21.0	5473.0	0.292517007	0.15797246199999998	1.0		
C1_00560W_A	38.79	7244.953730944647	237.0	0.19	0.002559727	0	1	1173.0	0.0	0.0	1.0	0.0	14.0	-1.0	
C1_00570C_A	12.5	29617.862687689354	2.0	0.12	0.001258389	-1	-1	2385.0	8.0	97.0	0.482599581	0.051570262	0.0		
C1_00580W_A	14.12	17930.79479331957	32.0	0.12	0.0	0	0	930.0	21.0	2331.0	0.204301075	0.328248002	13.0		
C1_00590W_A	401.18	126819.95045868515	214.0	0.58	0.00234375	-1	-1	1281.0	5.0	193.0	0.35597189700000004	0.056839145	1.0		
C1_00600W_A	11.11	439.2705842220225	20.0	0.14	0.002387671	0	1	4608.0	8.0	17.0	0.384331597	0.029264686	2.0	-1.0	
C1_00610W_A	74.42	6405.3201382279	8.0	0.17	0.000564334	-1	-1	1773.0	1.0	3.0	0.9960518890000001	0.010650333	0.0	-1.0	
C1_00620W_A	43.7	23863.80773045574	94.0	0.14	0.0010626989999999998	0	1	942.0	2.0	5.0	0.725053079	0.036624204	1.0	-1.0	
C1_00630W_A	5.24	760.3708867406821	47.0	0.17	0.00286533	0	0	1746.0	28.0	2460.0	0.278923253	0.282105683	12.0	-1.0	
C1_00640C_A	39.08	2667.8915840267064	209.0	0.2	0.002819067	-1	-1	3903.0	2.0	7.0	0.64104535	0.008789009	0.0	1.0	
C1_00650C_A	91.08	20968.649547916502	26.0	0.21	0.0	-1	-1	681.0	4.0	18.0	0.618208517	0.10091895199999999	0.0		
C1_00660C_A	46.75	17714.497474502634	27.0	0.17	0.001974334	0	1	1014.0	3.0	4.0	0.504930966	0.052961955	0.0	1.0	
C1_00670C_A	7.52	3731.092871414284	83.0	0.14	0.002855511	0	0	1752.0	41.0	4324.0	0.141552511	0.439320344	1.0		-1.0
C1_00680W_A	7.28	5363.405344097102	14.0	0.26	0.001884126	0	0	2124.0	27.0	1806.0	0.175141243	0.231207352	0.0		
C1_00690W_A	6.6	88.65802199230801	250.0	0.14	0.001644196	-1	-1	3042.0	26.0	914.0	0.125575279	0.15377331	17.0		
C1_00700W_A	62.01	4575.337325491946	41.0	0.21	0.002739726	0	0	366.0	1.0	1.0	0.620218579	0.04691239	5.0	-1.0	
C1_00710C_A	248.41	65501.01023903777	19.0	0.46	0.000578704	0	1	1729.0	2.0	2.0	0.375555556	0.026109527999999996	0.0	1.0	
C1_00720W_A					0.0	0	0								
C1_00730C_A	41.28	903.8946322673767	29.0	0.2	0.0	-1	-1	1830.0	17.0	1451.0	0.20327868899999998	0.186542765	1.0		-1.0
C1_00740C_A	117.46	8332.527866218565	189.0	0.25	0.0028149190000000004	-1	-1	1422.0	0.0	0.0	1.0	0.0	1.0		
C1_00750C_A	23.0	1908.1311098249203	237.0	0.17	0.002376238	-1	-1	2526.0	33.0	2579.0	0.11797308	0.304309805	0.0		
C1_00760W_A				0.16	0.001517451	0	0	660.0	16.0	1577.0	0.222727273	0.60262418	11.0		
C1_00760W_B	44.52	13170.611777691302	1.0			0	0								
C1_00770C_A	21.83	10196.302006510063	0.0	0.16	0.0	0	1	783.0	3.0	8.0	0.4074074070000001	0.102097632	0.0	1.0	
C1_00780C_A	3.16	7274.010098201757	126.0	0.19	0.003818413	-1	-1	2358.0	26.0	1688.0	0.146734521	0.30246886300000003	2.0		-1.0
C1_00790W_A	5.31	48.161997468353135	2.0	0.2	0.009090909	0	0	1101.0	18.0	1956.0	0.227974569	0.4656515470000001	2.0		
C1_00800C_A	61.68	8856.629868043188	135.0	0.24	0.001531394	-1	-1	654.0	2.0	69.0	0.483180428	0.085088736	0.0	-1.0	
C1_00810W_A	5.7	88.10233120888516	23.0	0.15	0.005675369	0	1	882.0	2.0	106.0	0.969387755	0.06210607200000001	1.0	-1.0	
C1_00820W_A	4.35	134.21428103120866	209.0	0.16	0.0	0	0	1047.0	9.0	255.0	0.309455587	0.22680713100000002	7.0		
C1_00830W_A	6.07	644.7681651122148	201.0	0.16	0.001667593	0	0	1800.0	20.0	2039.0	0.295555556	0.279887767	2.0		
C1_00840C_A	17.46	611.6713670202812	42.0	0.19	0.002312139	0	0	1731.0	21.0	1061.0	0.160023108	0.31121103	4.0		
C1_00850W_A	6.9	8737.261962382488	127.0	0.12	0.002680965	0	0	747.0	12.0	1206.0	0.319946452	0.405054774	4.0		
C1_00860W_A	7.17	2032.70581255352	215.0	0.18	0.000999001	-1	-1	1002.0	8.0	543.0	0.294411178	0.22331095399999998	4.0	-1.0	
C1_00870W_A	28.81	4839.319994777999	0.0	0.18	0.002385496	-1	-1	2097.0	10.0	416.0	0.37672866	0.120422275	1.0		
C1_00880W_A	2.55	315.64870927149065	3.0	0.16	0.003692308	0	0	1626.0	48.0	6598.0	0.142066421	0.69753742	2.0		
C1_00890W_A	12.2	357.50564376107604	210.0	0.13	0.002790698	-1	-1	2151.0	7.0	76.0	0.323570432	0.068418859	0.0		-1.0
C1_00900W_A	80.95	13860.873958276961	379.0	0.22	0.0	0	1	618.0	0.0	0.0	1.0	0.0	0.0	1.0	
C1_00910W_A	12.49	709.0452410136612	28.0	0.16	0.0	1	0	1007.0	8.0	520.0	0.405797101	0.20333426699999999	1.0		
C1_00920W_A	9.13	1412.8054610692698	177.0	0.17	0.001042753	-1	-1	3837.0	31.0	1783.0	0.171748762	0.173547499	4.0	-1.0	
